,titulo,ubicacion,precio,Superficie,Habitaciones,Baños,Planta,Conservacion,Gastos de Comunidad,Amueblado,Balcon,Ascensor,Calefaccion,Garaje,Terraza,Trastero
251,Piso en venta en Calle de San Antoniño,Zona Praza de Barcelos (Pontevedra Capital),145000,85,3.0,1.0,Planta: 2ª,En buen estado,Entre 20 y 40€,1,0,0,Gas natural,0,0,0
252,Piso en venta en Calle de Atranco,Cangas,190000,100,3.0,2.0,Planta: 1ª,En buen estado,0,1,0,1,Suelo radiante,1,0,0
253,Piso en venta en Calle de Redondela,Coia (Distrito Casco Urbano. Vigo),210000,115,4.0,2.0,Planta: 7ª,En buen estado,120.00 euros.,1,0,1,Gas colectivo,1,0,1
254,"Piso en venta en Avenida de Castelao, 9",Parroquias Rurales (Pontevedra Capital),150000,69,2.0,2.0,Planta: 1ª,En buen estado,0,1,0,0,Gas propano,1,1,0
255,Apartamento en venta en Camino del Rapadouro,Coiro (San Salvador). Municipio de Cangas,160000,70,2.0,1.0,Planta: 1ª,En buen estado,0,0,0,0,Eléctrica,1,0,1
256,"Piso en venta en Calle de Pi i Margall, cerca de Calle de Menéndez Pelayo",Camelias-Pi y Margall (Distrito Casco Urbano. Vigo),350000,161,4.0,2.0,Planta: 3ª,En buen estado,0,1,1,1,Central,1,1,0
257,Apartamento en venta en La Parda,A Seca-Os Salgueriños (Pontevedra Capital),180000,85,2.0,2.0,Planta: 1ª,En buen estado,0,0,0,0,Gas natural,1,1,0
258,Piso en venta en Praza España-Zona Corte Inglés,Praza España-Zona Corte Inglés (Distrito Casco Urbano. Vigo),385000,110,3.0,2.0,Planta: 5ª,En buen estado,0,1,0,1,Central,0,0,0
259,Piso en venta en Calle Ernestina Otero Sestelo,Zona Praza de Barcelos (Pontevedra Capital),236000,126,3.0,2.0,Planta: 1ª,A estrenar,0,0,0,0,No tiene,0,0,0
260,Piso en venta en Salceda de Caselas,Salceda de Caselas,106320,79,2.0,2.0,Planta: 2ª,En buen estado,20.00 euros.,1,1,0,"Si, sin especificar",1,0,1
261,Piso en venta en Marín,Marín,150000,140,4.0,2.0,Planta: 8ª,En buen estado,0,0,1,1,No tiene,0,1,0
262,Piso en venta en Teis,Teis (Vigo),189000,107,3.0,2.0,Planta: 1ª,En buen estado,0,1,0,0,Gasóleo individual,1,0,0
