,titulo,ubicacion,precio,Superficie,Habitaciones,Baños,Planta,Conservacion,Gastos de Comunidad,Amueblado,Balcon,Ascensor,Calefaccion,Garaje,Terraza,Trastero
544,Piso en venta en Teis,Teis (Vigo),165000,81.0,2.0,1.0,Planta: 3ª,En buen estado,20.00 euros.,1,0,0,Gas individual,1,0,0
545,Piso en venta en Hospital,Zona Praza de Barcelos (Pontevedra Capital),160000,98.0,3.0,2.0,Planta: 4ª,En buen estado,0,0,0,1,Eléctrica,0,0,0
546,Apartamento en venta en Calle de San Mauro,A Seca-Os Salgueriños (Pontevedra Capital),140000,51.0,2.0,1.0,Planta: 3ª,En buen estado,36.00 euros.,1,0,1,Gas individual,1,0,0
547,Piso en venta en Calle de Policarpo Sanz,Centro-Areal (Distrito Casco Urbano. Vigo),350000,75.0,3.0,2.0,,En buen estado,0,0,0,0,No tiene,0,0,0
548,Piso en venta en Calle Avenida Xosé María Castroviejo,Cangas,245000,101.0,3.0,2.0,,En buen estado,0,0,0,1,No tiene,1,1,0
549,"Piso en venta en Calle de Gerardo Campos Ramos, 8",Teis (Vigo),115000,90.0,3.0,1.0,Planta: 3ª,En buen estado,0,1,0,0,Eléctrica,0,0,0
550,"Piso en venta en Paseo de la Praia de Silgar, cerca de Calle Camelios",Sanxenxo,235000,70.0,2.0,2.0,,En buen estado,0,1,0,1,No tiene,0,1,1
551,Piso en venta en Coia,As Travesas-Balaídos (Distrito Casco Urbano. Vigo),175000,75.0,3.0,2.0,Planta: 3ª,En buen estado,90.00 euros. calefacción,1,1,1,Gasóleo individual,0,0,0
552,Piso en venta en Centro,Salceda de Caselas,115000,90.0,3.0,2.0,Planta: 1ª,En buen estado,Incluidos,1,1,1,Electrica,1,0,1
553,Piso en venta en Plaza de Galicia,Centro-Echegaray (Pontevedra Capital),165000,65.0,2.0,1.0,Planta: 4ª,En buen estado,0,1,0,1,Gas individual,0,0,1
554,Piso en venta en Calle del Arenal,Centro-Areal (Distrito Casco Urbano. Vigo),237000,80.0,2.0,1.0,Planta: 8ª,En buen estado,0,1,1,1,"Si, sin especificar",0,0,1
555,"Piso en venta en Avenida del Covelo, 13",Covelo (Santa Marina),250000,95.0,3.0,2.0,,En buen estado,0,0,0,0,Gas natural,1,0,0
556,Piso en venta en A Guarda,A Guarda,89000,98.0,3.0,2.0,Planta: Bajo,En buen estado,0,0,0,0,No tiene,0,0,1
